Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,73766,2023-11-09,2023-11-09,2024-03-31,0,143,0,License/Maintenance Fees Related
Client software related to distributed computing environment (DCE),Other,Microsoft,162932,2023-05-10,2023-05-10,2024-03-31,0,326,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) ADDM and application development and delivery software,Other,Microsoft,88487,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,278430,2023-02-22,2023-04-01,2024-03-31,38,365,38,License/Maintenance Fees Related
Computer services,Other,Microsoft,10491,2024-01-09,2023-12-01,2024-03-31,-39,121,39,Computer Services Related
Computer services,Other,Microsoft,53351,2024-02-20,2024-02-20,2024-03-31,0,40,0,Computer Services Related
NETWORKING SOFTWARE,Transport Canada,Microsoft,58859,2023-10-12,2023-10-12,2024-03-31,0,171,0,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,40389,2023-12-13,2023-12-13,2024-03-31,0,109,0,License/Maintenance Fees Related
Information technology services,Other,Microsoft,85357,2023-09-01,2023-09-01,2024-03-31,0,212,0,Other
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,99555,2023-09-01,2023-04-01,2024-03-31,-153,365,153,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,639413,2023-04-01,2023-04-01,2024-03-31,0,365,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,20496,2023-06-23,2023-06-23,2024-03-31,0,282,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,21350,2023-11-10,2023-11-10,2024-03-31,0,142,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,26029,2023-12-13,2023-12-13,2024-03-31,0,109,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,324898,2023-12-13,2023-12-13,2024-03-31,0,109,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,18720,2024-03-12,2024-03-12,2024-03-31,0,19,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,5956194,2020-03-19,2020-03-19,2024-03-31,0,1473,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,26614,2022-07-28,2022-07-28,2024-03-31,0,612,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,1184534,2023-06-29,2023-06-29,2024-03-31,0,276,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,23961,2023-08-18,2023-08-18,2024-03-31,0,226,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,23961,2023-08-18,2023-08-18,2024-03-31,0,226,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,11754,2023-08-17,2023-08-17,2024-03-31,0,227,0,Distributed Computing Environment Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,1428221,2023-05-08,2023-05-08,2024-03-31,0,328,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,148893,2022-04-01,2022-04-01,2024-03-31,0,730,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,17932,2023-06-19,2023-06-19,2024-03-31,0,286,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,21660,2023-11-24,2023-11-24,2024-03-31,0,128,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,67800,2023-09-27,2023-09-27,2024-03-31,0,186,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,24468,2023-03-13,2023-04-01,2024-03-31,19,365,19,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,67706,2023-01-26,2023-04-01,2024-03-31,65,365,65,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES - SERVER OP.SYSTEM & UTIL,Other,Microsoft,12309,2023-08-16,2023-08-16,2024-03-31,0,228,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,1028757,2024-03-22,2024-03-22,2024-03-31,0,9,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,44127,2023-02-09,2023-03-01,2024-03-31,20,396,20,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,484944,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,24595,2023-06-23,2023-06-23,2024-03-31,0,282,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,43320,2023-11-28,2023-11-28,2024-03-31,0,124,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,99558,2024-03-22,2024-03-22,2024-03-31,0,9,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,276702,2024-03-22,2024-03-22,2024-03-31,0,9,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Employment and Social Development Canada,Microsoft,1392548,2023-07-18,2023-05-01,2024-03-31,-78,335,78,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,78845,2023-04-01,2023-04-01,2024-03-31,0,365,0,Consulting Related
"
License/Maintenance fees for client software related to Distributed Computing Environment (DCE)",Other,Microsoft,16950,2023-03-27,2023-04-01,2024-03-31,5,365,5,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,1487868,2023-09-14,2023-09-14,2024-03-31,0,199,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,84180,2023-10-12,2023-10-12,2024-03-31,0,171,0,License/Maintenance Fees Related
INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS,Transport Canada,Microsoft,39155,2023-12-15,2023-12-15,2024-03-31,0,107,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,1925941,2023-04-12,2023-04-01,2024-03-31,-11,365,11,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment,Other,Microsoft,72274,2023-04-04,2023-04-04,2024-03-31,0,362,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,72274,2023-04-04,2023-04-01,2024-03-31,-3,365,3,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,213570,2023-06-30,2023-07-01,2024-03-31,1,274,1,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,1695776,2023-03-15,2023-04-01,2024-03-31,17,365,17,License/Maintenance Fees Related
COMPUTER SERVICES,Other,Microsoft,830485,2023-05-01,2023-04-01,2024-03-31,-30,365,30,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,246845,2023-03-27,2023-04-01,2024-03-31,5,365,5,License/Maintenance Fees Related
License/Maintenance fees for networking software,Other,Microsoft,189048,2023-05-05,2023-05-05,2024-03-31,0,331,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,27188,2023-07-20,2023-07-20,2024-03-31,0,255,0,Computer Services Related
License/Maintenance fees for client software,Other,Microsoft,570552,2023-03-22,2023-03-22,2024-03-31,0,375,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,661031,2024-03-21,2024-03-21,2024-03-31,0,10,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,215732,2021-03-03,2021-03-03,2024-03-31,0,1124,0,License/Maintenance Fees Related
License/Maintenance fees for networking software,Other,Microsoft,189048,2023-05-05,2023-05-05,2024-03-31,0,331,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Natural Resources Canada,Microsoft,257355,2023-01-03,2023-01-03,2024-03-31,0,453,0,License/Maintenance Fees Related
NETWORKING SOFTWARE,Transport Canada,Microsoft,19476,2023-10-16,2023-10-16,2024-03-31,0,167,0,Software Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,42958,2023-06-20,2023-06-20,2024-03-31,0,285,0,License/Maintenance Fees Related
License/Maintenance fees for client software rel,Other,Microsoft,153318,2023-10-27,2023-10-27,2024-03-30,0,155,0,License/Maintenance Fees Related
License/Maintenance fees for client software rel,Other,Microsoft,52360,2023-05-16,2023-05-16,2024-03-29,0,318,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,141603,2024-02-08,2024-02-08,2024-03-29,0,50,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,100669,2024-01-30,2024-01-30,2024-03-29,0,59,0,Computer Services Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,110376,2024-02-20,2024-03-01,2024-03-28,10,27,10,License/Maintenance Fees Related
License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE),Other,Microsoft,69774,2023-03-21,2023-03-27,2024-03-26,6,365,6,License/Maintenance Fees Related
Information technology and telecommunications consultants,Employment and Social Development Canada,Microsoft,332278,2023-10-03,2023-10-14,2024-03-15,11,153,11,Consulting Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,862313,2024-01-29,2024-02-01,2024-03-07,3,35,3,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,153643,2024-01-29,2024-02-01,2024-03-07,3,35,3,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,17660,2024-01-29,2024-02-01,2024-03-07,3,35,3,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,130284,2022-04-01,2022-04-01,2024-02-29,0,699,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,678000,2023-03-16,2023-03-16,2024-02-29,0,350,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,10688,2022-07-14,2022-05-30,2024-02-28,-45,639,45,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,10688,2022-07-14,2022-05-30,2024-02-28,-45,639,45,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,574875,2023-12-12,2024-02-01,2024-02-28,51,27,51,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,5748750,2023-07-10,2023-07-01,2024-02-28,-9,242,9,Production and Operation Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,112819,2023-02-23,2023-02-23,2024-02-22,0,364,0,License/Maintenance Fees Related
Other professional services not elsewhere specified,National Defence,Microsoft,565000,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,565000,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,621500,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,621500,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,621500,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,565000,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,621500,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
Other professional services not elsewhere specified,National Defence,Microsoft,621500,2023-02-16,2023-02-16,2024-02-15,0,364,0,Other
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,395500,2023-10-26,2023-10-26,2024-02-08,0,105,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,88745,2023-07-17,2023-07-17,2024-01-31,0,198,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,333500,2023-01-31,2023-02-01,2024-01-31,1,364,1,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,212704,2024-01-10,2024-01-10,2024-01-30,0,20,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,2333727,2023-01-19,2023-01-19,2024-01-18,0,364,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Employment and Social Development Canada,Microsoft,566827,2023-07-20,2023-08-14,2024-01-15,25,154,25,Consulting Related
Information Technology and Telecommunications Consultants,Other,Microsoft,621500,2023-01-10,2023-01-10,2024-01-10,0,365,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,621500,2023-01-03,2023-01-03,2024-01-02,0,364,0,Consulting Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,445350,2023-07-13,2023-07-13,2024-01-01,0,172,0,License/Maintenance Fees Related
Info Technology and Telecomm Consultants,Other,Microsoft,516355,2022-01-28,2022-01-01,2023-12-31,-27,729,27,Consulting Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,97198,2022-03-17,2022-03-07,2023-12-31,-10,664,10,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,97198,2022-03-17,2022-03-07,2023-12-31,-10,664,10,Distributed Computing Environment Related
Purchase of Client Software,Other,Microsoft,1553562,2023-01-01,2023-01-01,2023-12-31,0,364,0,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,74323,2023-10-19,2023-10-19,2023-12-31,0,73,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,67692,2023-02-08,2023-01-01,2023-12-31,-38,364,38,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,36276,2023-03-01,2023-03-01,2023-12-31,0,305,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,158544,2023-02-08,2023-03-31,2023-12-31,51,275,51,Distributed Computing Environment Related
License/Maintenance fees for Client Software,Other,Microsoft,83243,2021-01-01,2021-01-01,2023-12-31,0,1094,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,158544,2023-02-08,2023-03-31,2023-12-31,51,275,51,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,67692,2023-02-08,2023-01-01,2023-12-31,-38,364,38,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,407909,2020-12-08,2020-12-14,2023-12-31,6,1112,6,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,132878,2021-01-01,2021-01-01,2023-12-31,0,1094,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,60855,2021-01-01,2021-01-01,2023-12-31,0,1094,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,116084,2023-01-01,2023-01-01,2023-12-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,11457,2023-05-03,2023-05-03,2023-12-31,0,242,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,12220,2023-01-12,2023-01-12,2023-12-31,0,353,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,54095,2022-09-01,2022-09-01,2023-12-31,0,486,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,18814,2023-10-05,2023-10-01,2023-12-28,-4,88,4,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,20905,2023-10-05,2023-10-01,2023-12-28,-4,88,4,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,86231,2023-10-04,2023-10-01,2023-12-28,-3,88,3,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,17246,2023-10-04,2023-10-01,2023-12-21,-3,81,3,Production and Operation Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,1953118,2023-10-03,2023-10-01,2023-12-21,-2,81,2,Production and Operation Related
Information technology and telecommunications consultants,National Defence,Microsoft,74500,2022-12-22,2022-12-22,2023-12-21,0,364,0,Consulting Related
Computer services,Other,Microsoft,212959,2022-03-01,2022-03-01,2023-11-30,0,639,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,14396,2023-11-22,2023-10-31,2023-11-30,-22,30,22,License/Maintenance Fees Related
Computer services,Other,Microsoft,67697,2023-02-22,2023-02-22,2023-11-30,0,281,0,Computer Services Related
Computer services,Other,Microsoft,29229,2022-12-01,2022-12-01,2023-11-30,0,364,0,Computer Services Related
Computer services,Other,Microsoft,17026,2022-11-09,2022-12-01,2023-11-30,22,364,22,Computer Services Related
Computer services,Other,Microsoft,200136,2022-11-09,2022-12-01,2023-11-30,22,364,22,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,14503,2022-11-16,2022-11-16,2023-11-15,0,364,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,14503,2022-11-16,2022-11-16,2023-11-15,0,364,0,Distributed Computing Environment Related
Other professional services not elsewhere specified,National Defence,Microsoft,540140,2022-11-16,2022-11-16,2023-11-15,0,364,0,Other
Information technology and telecommunications consultants,National Defence,Microsoft,535733,2022-11-01,2022-11-01,2023-11-01,0,365,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),National Defence,Microsoft,244351,2022-10-12,2022-11-01,2023-10-31,20,364,20,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,48098,2023-02-06,2023-02-06,2023-10-31,0,267,0,Distributed Computing Environment Related
COMPUTER SERVICES,Other,Microsoft,15564000,2023-04-18,2023-04-21,2023-10-31,3,193,3,Computer Services Related
Information technology and telecommunications consultants,Employment and Social Development Canada,Microsoft,183960,2023-07-05,2023-07-03,2023-10-31,-2,120,2,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,252975,2023-03-01,2023-03-01,2023-10-31,0,244,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,445491,2023-03-16,2023-03-16,2023-10-31,0,229,0,License/Maintenance Fees Related
License/Maintenance fees for client software relat,Global Affairs Canada,Microsoft,960093,2022-11-01,2022-11-01,2023-10-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,50176,2022-11-09,2022-11-01,2023-10-31,-8,364,8,License/Maintenance Fees Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,42163,2023-02-04,2023-02-04,2023-10-31,0,269,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,26352,2023-01-13,2023-01-13,2023-10-31,0,291,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,67113,2023-02-20,2023-02-20,2023-10-31,0,253,0,License/Maintenance Fees Related
License/Maintenance fees for application software,Global Affairs Canada,Microsoft,1240433,2021-03-01,2021-03-01,2023-10-31,0,974,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,372900,2022-10-28,2022-10-28,2023-10-27,0,364,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,226000,2021-03-15,2021-03-15,2023-10-23,0,952,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,621500,2021-10-28,2021-11-22,2023-10-23,25,700,25,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,1572395,2021-03-04,2021-03-04,2023-10-23,0,963,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,621500,2021-12-20,2021-12-20,2023-10-23,0,672,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,546920,2021-11-02,2021-11-22,2023-10-23,20,700,20,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,546920,2021-11-11,2021-11-22,2023-10-23,11,700,11,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,1572395,2021-03-03,2021-03-03,2023-10-23,0,964,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,1234299,2021-03-10,2021-03-10,2023-10-23,0,957,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,550000,2021-02-26,2021-02-26,2023-10-23,0,969,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,447480,2022-02-23,2022-02-23,2023-10-23,0,607,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,1305150,2022-03-04,2022-03-04,2023-10-23,0,598,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,621500,2021-12-20,2021-12-20,2023-10-23,0,672,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,45822,2020-10-16,2020-10-16,2023-10-15,0,1094,0,Consulting Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,542400,2020-09-24,2020-09-24,2023-09-30,0,1101,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,41283,2022-09-19,2022-09-19,2023-09-30,0,376,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,482505,2022-08-08,2022-08-08,2023-08-07,0,364,0,License/Maintenance Fees Related
INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS,Transport Canada,Microsoft,271200,2022-07-19,2022-07-19,2023-07-31,0,377,0,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,513442,2023-05-30,2023-05-30,2023-06-30,0,31,0,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,927158,2022-09-28,2022-06-30,2023-06-30,-90,365,90,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,354528,2022-06-28,2022-06-30,2023-06-29,2,364,2,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,152217,2023-06-25,2023-06-25,2023-06-26,0,1,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,68930,2022-06-21,2022-06-21,2023-06-20,0,364,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,174127,2022-06-15,2022-06-15,2023-06-14,0,364,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,195874,2022-06-01,2022-06-01,2023-06-01,0,365,0,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,434357,2022-06-01,2022-06-01,2023-05-31,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,425408,2023-01-24,2023-02-01,2023-05-31,8,119,8,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,65291,2022-06-20,2022-06-20,2023-05-29,0,343,0,License/Maintenance Fees Related
COMPUTER SERVICES (INCLUDES IT SOLUTIONS/DELIVERABLES AS WELL AS IT MANAGED SERVICES),Transport Canada,Microsoft,60512,2021-06-24,2021-06-24,2023-05-25,0,700,0,Computer Services Related
Client Software,Other,Microsoft,23408,2022-05-06,2022-05-06,2023-05-06,0,365,0,Software Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,43382,2022-06-01,2022-06-01,2023-04-30,0,333,0,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,438571,2022-03-10,2022-03-10,2023-03-31,0,386,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,211810,2023-01-31,2023-01-31,2023-04-01,0,60,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,30551,2022-06-02,2022-06-02,2023-04-01,0,303,0,Distributed Computing Environment Related
INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS,Transport Canada,Microsoft,135600,2022-05-17,2022-05-17,2023-03-31,0,318,0,Consulting Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,791000,2022-03-04,2022-03-04,2023-03-31,0,392,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,65901,2022-09-23,2022-09-23,2023-03-31,0,189,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,206892,2022-04-01,2022-04-01,2023-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,13560,2022-07-28,2022-07-28,2023-03-31,0,246,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,28928,2022-06-23,2022-06-23,2023-03-31,0,281,0,Consulting Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,75078,2022-03-01,2022-03-01,2023-03-31,0,395,0,License/Maintenance Fees Related
"Professional Services-Information technology, business and/or telecommunications",Other,Microsoft,1830853,2023-03-03,2022-01-18,2023-03-31,-409,437,409,Other
Computer equip. related to DCE-Desktop/personal/po,Other,Microsoft,303292,2022-12-16,2022-12-16,2023-03-31,0,105,0,Distributed Computing Environment Related
Information technology and telecommunications consultants,Global Affairs Canada,Microsoft,273499,2022-08-08,2022-08-08,2023-03-31,0,235,0,Consulting Related
